"","Term","P.value","time_point"
"1","Ubiquitin mediated proteolysis",3.6875984203035e-08,30
"2","Lysine degradation",3.59183689688516e-05,30
"3","RNA degradation",0.000120113777430034,30
"4","Autophagy",0.00242029749532935,30
"5","Endocytosis",0.00345811946565274,30
"6","Neurotrophin signaling pathway",0.00394735781172367,30
"7","Cell cycle",0.00457397543988735,30
"8","Spliceosome",0.00595090237318781,30
"9","Protein processing in endoplasmic reticulum",0.00861628156467087,30
"10","Fanconi anemia pathway",0.0130525357381567,30
